"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000047415.12_Gpr68","Gpr68",338.903941354846,3.34478442470981,0.420333502774447,7.95745378998407,1.75615676754845e-15,2.96060641137094e-13
"ENSMUSG00000026070.15_Il18r1","Il18r1",424.614570904605,4.08428682710313,0.513499546942294,7.95382751829792,1.80835846958423e-15,3.0035266972598e-13
"ENSMUSG00000030223.14_Ptpro","Ptpro",360.767618600936,2.60632300979328,0.32769603532057,7.95347739634271,1.81347879457926e-15,3.0035266972598e-13
"ENSMUSG00000030774.13_Pak1","Pak1",359.673917959753,1.76217830758531,0.221589928876128,7.95242959155599,1.82888777598792e-15,3.0080123671179e-13
"ENSMUSG00000022657.9_Cd96","Cd96",103.853801196651,3.68295948209794,0.463188168279439,7.95132461128851,1.84527727732646e-15,3.01403772663447e-13
"ENSMUSG00000041515.10_Irf8","Irf8",1478.37040325479,2.69788792872659,0.339808613250025,7.93943362095279,2.03106549206238e-15,3.29477774753462e-13
"ENSMUSG00000018920.11_Cxcl16","Cxcl16",2717.69918873807,3.68702235666671,0.464998814470417,7.92910055236554,2.20738766272716e-15,3.55644689823333e-13
"ENSMUSG00000026770.5_Il2ra","Il2ra",247.576430134108,3.68623110213052,0.465092088853613,7.92580908270567,2.26665611648138e-15,3.62726239613143e-13
"ENSMUSG00000026104.14_Stat1","Stat1",10460.7560507575,2.32735791862407,0.293946193137645,7.91763245436638,2.42075692344798e-15,3.84786623992899e-13
"ENSMUSG00000036908.17_Unc93b1","Unc93b1",2547.28031492617,1.92635907552768,0.243345397162968,7.91615168392768,2.44974727817215e-15,3.86798763574862e-13
"ENSMUSG00000021451.16_Sema4d","Sema4d",1240.6221759317,2.90357860057674,0.367819101883199,7.89403972145736,2.92558987794473e-15,4.56681585976141e-13
"ENSMUSG00000040659.3_Efhd2","Efhd2",1461.78977374587,1.53015118850972,0.193841828435485,7.89381322318153,2.93090698650454e-15,4.56681585976141e-13
"ENSMUSG00000037321.17_Tap1","Tap1",4289.88373838486,2.08274587527589,0.263959723638055,7.89039269540903,3.01237131336815e-15,4.65552176712089e-13
"ENSMUSG00000061132.13_Blnk","Blnk",174.221446765992,1.72780353271931,0.218992559125715,7.88978191595749,3.02715061702676e-15,4.65552176712089e-13
"ENSMUSG00000023947.8_Nfkbie","Nfkbie",621.640881771118,2.43047801943447,0.308176837873569,7.88663429803763,3.10445438485058e-15,4.73615251021379e-13
"ENSMUSG00000045502.6_Hcar2","Hcar2",107.530816688646,3.76101686113117,0.476921587924505,7.88602771683828,3.11957351626985e-15,4.73615251021379e-13
"ENSMUSG00000016496.7_Cd274","Cd274",2497.28894366482,3.07561172346194,0.390144594372226,7.88326114939729,3.18945515892093e-15,4.81140483973779e-13
"ENSMUSG00000021998.16_Lcp1","Lcp1",5935.21566975099,2.54494366733352,0.323036753336782,7.87818612292789,3.321676830408e-15,4.97915152223943e-13
"ENSMUSG00000024899.7_Papss2","Papss2",286.316470898374,2.24362349166932,0.284840829421015,7.87676224728685,3.35973336893098e-15,5.00452359180888e-13
"ENSMUSG00000052889.11_Prkcb","Prkcb",425.711300030993,2.03636173417122,0.25920361055795,7.85622441673494,3.95885503938262e-15,5.86009517204612e-13
"ENSMUSG00000028163.17_Nfkb1","Nfkb1",2146.45495127995,0.923617715969543,0.117643605806051,7.85098101712583,4.12795445547394e-15,6.07245175922017e-13
"ENSMUSG00000024300.17_Myo1f","Myo1f",1833.93822653724,2.90514809012091,0.370104304218722,7.84953878408301,4.17570033066552e-15,6.10477077972112e-13
"ENSMUSG00000020732.13_Rab37","Rab37",62.0212677313633,2.77281691046894,0.353415999192855,7.84575943591009,4.30341190247749e-15,6.25288389559981e-13
"ENSMUSG00000031430.8_Vsig1","Vsig1",259.858008264181,4.30720002090613,0.550005502318528,7.83119442032723,4.83256691436874e-15,6.97893382926275e-13
"ENSMUSG00000020573.17_Pik3cg","Pik3cg",761.913295299964,2.27317839484535,0.290558528509924,7.82347847954397,5.13833441452788e-15,7.28720432776517e-13
"ENSMUSG00000069516.8_Lyz2","Lyz2",53933.2854076764,4.13157086661719,0.528069518867443,7.8239146911532,5.12055140325398e-15,7.28720432776517e-13
"ENSMUSG00000098112.7_Bin2","Bin2",438.569041317059,2.78037708086505,0.355388040694034,7.82349646722855,5.13759991140017e-15,7.28720432776517e-13
"ENSMUSG00000004707.14_Ly9","Ly9",498.290008566362,2.87681117657683,0.367996536899629,7.81749524279213,5.38847649755006e-15,7.59646889095093e-13
"ENSMUSG00000078439.9_Smim24","Smim24",33.0467901189221,2.62250141257835,0.335745421514485,7.8109819063168,5.67441615457818e-15,7.95224095887749e-13
"ENSMUSG00000025969.15_Nrp2","Nrp2",2791.57852546098,1.67994569111147,0.21527083320142,7.80387043673314,6.00368302602935e-15,8.32305423371504e-13
"ENSMUSG00000038213.7_Tapbpl","Tapbpl",709.25373450938,2.24691837198019,0.287927938322352,7.80375251207694,6.00929857272957e-15,8.32305423371504e-13
